Timestamp;Age;Frequence;Niveau;Contexte;TypesJeux;JouePour;jeu_catan;jeu_trio;jeu_uno;jeu_saboteur;jeu_terra;jeu_dune;jeu_sixqui;jeu_aventuriers;jeu_dixit;jeu_timesup;jeu_top10;jeu_ttmc;jeu_flip7;jeu_seti;jeu_dimoi;jeu_harmonie;jeu_kot;jeu_bomb;jeu_eternal;jeu_mysterium;jeu_wingspan;jeu_five;jeu_everdell;jeu_splendor;Q1;Q2;Q3;Q4;Q5;Q6;Q7;Q8;Q9;Q10;Q11;Q12;Q13;Q14;Q15;Q16;Q17;Q18;Q19;Q20;Q21;Q22;Q23;Q24;Q25;Q26;Q27;Q28;score_maitrise;score_competition;score_conflit;score_social;persona;types_compatibles;types_compatibles_detail;appetence_niveau;appetence_jeux_connus;appetence_coups_coeur;appetence_niche_connus;coups_de_coeur
24/06/2026 21:32;65;Jamais ou presque;Débutant;Famille;Coopératif, Ambiance / social, Enquête, Rôle / narrative;Partager un moment, Gagner, Me détendre;inconnu;connu;adoré;adoré;inconnu;inconnu;connu;inconnu;inconnu;connu;connu;inconnu;inconnu;inconnu;inconnu;inconnu;inconnu;inconnu;inconnu;adoré;inconnu;inconnu;inconnu;adoré;7;7;7;7;7;7;7;1;5;4;7;7;4;4;7;5;7;6;7;7;1;6;7;7;7;7;7;7;6.25;5.38;6.00;7.00;L'Explorateur convivial;✅ Très compatible Eurogame | ✅ Très compatible Semi-coop / traître | ~ Compatible Legacy / campagne narrative | ~ Compatible Ameritrash / Ameristyle | ~ Compatible Coopératif | ~ Compatible Négociation / diplomatie;Eurogame (ex: Terraforming Mars, Wingspan, Everdell) | Semi-coop / traître (ex: Saboteur, Eternal Decks) | Legacy / campagne narrative (ex: Wingspan, Everdell) | Ameritrash / Ameristyle (ex: Dune, King of Tokyo, SETI) | Coopératif (ex: Mysterium, Bomb Buster, Harmonie) | Négociation / diplomatie (ex: Catan, Dune);Intermédiaire;8;4;0;UNO, Saboteur, Mysterium, Splendor
24/06/2026 19:48;32;Mensuel;Intermédiaire;En couple;Stratégie, Coopératif, Enquête;Partager un moment, Découvrir de nouveaux jeux, Me détendre, Réfléchir;connu;connu;connu;connu;inconnu;inconnu;connu;connu;connu;connu;connu;connu;connu;inconnu;inconnu;adoré;inconnu;inconnu;inconnu;adoré;connu;inconnu;adoré;adoré;7;5;5;6;5;3;4;3;2;1;4;2;1;1;1;1;2;2;4;3;3;1;1;3;7;5;5;5;4.75;1.62;2.38;5.50;L'Explorateur convivial;✅ Très compatible Ameritrash / Ameristyle | ✅ Très compatible Coopératif | ~ Compatible Négociation / diplomatie | ~ Compatible Party game / ambiance | ~ Compatible Semi-coop / traître | ~ Compatible Legacy / campagne narrative;Ameritrash / Ameristyle (ex: Dune, King of Tokyo, SETI) | Coopératif (ex: Mysterium, Bomb Buster, Harmonie) | Négociation / diplomatie (ex: Catan, Dune) | Party game / ambiance (ex: Time's Up, Top 10, TTMC) | Semi-coop / traître (ex: Saboteur, Eternal Decks) | Legacy / campagne narrative (ex: Wingspan, Everdell);Confirmé;16;4;3;Harmonie, Mysterium, Everdell, Splendor
24/06/2026 19:29;30;Jamais ou presque;Débutant;Famille;Coopératif, Ambiance / social, Enquête;Partager un moment, Découvrir de nouveaux jeux, Me détendre;inconnu;connu;connu;connu;inconnu;inconnu;connu;connu;connu;connu;inconnu;connu;inconnu;inconnu;inconnu;inconnu;inconnu;connu;inconnu;connu;inconnu;inconnu;inconnu;inconnu;5;6;7;7;6;4;6;6;1;1;5;1;1;1;1;4;2;4;5;2;5;2;2;6;7;7;7;7;5.88;1.88;3.50;7.00;L'Explorateur convivial;✅ Très compatible Eurogame | ✅ Très compatible Ameritrash / Ameristyle | ~ Compatible Coopératif | ~ Compatible Semi-coop / traître | ~ Compatible Négociation / diplomatie | ~ Compatible Party game / ambiance;Eurogame (ex: Terraforming Mars, Wingspan, Everdell) | Ameritrash / Ameristyle (ex: Dune, King of Tokyo, SETI) | Coopératif (ex: Mysterium, Bomb Buster, Harmonie) | Semi-coop / traître (ex: Saboteur, Eternal Decks) | Négociation / diplomatie (ex: Catan, Dune) | Party game / ambiance (ex: Time's Up, Top 10, TTMC);Intermédiaire;10;0;1;
24/06/2026 19:27;36;Jamais ou presque;Débutant;Amis;Stratégie;Gagner, Partager un moment;inconnu;connu;adoré;inconnu;inconnu;inconnu;inconnu;adoré;inconnu;connu;inconnu;connu;inconnu;inconnu;inconnu;inconnu;inconnu;inconnu;inconnu;inconnu;inconnu;inconnu;inconnu;inconnu;6;6;2;6;7;1;5;1;7;5;7;7;3;3;5;5;1;2;6;1;5;1;1;2;7;6;5;5;4.25;5.25;2.38;5.75;L'Animateur compétitif;✅ Très compatible Ameritrash / Ameristyle | ✅ Très compatible Négociation / diplomatie | ~ Compatible Semi-coop / traître | ~ Compatible Legacy / campagne narrative | ~ Compatible Eurogame | ~ Compatible Coopératif;Ameritrash / Ameristyle (ex: Dune, King of Tokyo, SETI) | Négociation / diplomatie (ex: Catan, Dune) | Semi-coop / traître (ex: Saboteur, Eternal Decks) | Legacy / campagne narrative (ex: Wingspan, Everdell) | Eurogame (ex: Terraforming Mars, Wingspan, Everdell) | Coopératif (ex: Mysterium, Bomb Buster, Harmonie);Découvreur;5;2;0;UNO, Aventuriers du Rail
24/06/2026 19:23;26;Mensuel;Intermédiaire;Famille;Party game, Coopératif, Ambiance / social, Enquête;Gagner, Partager un moment;inconnu;adoré;connu;connu;connu;inconnu;connu;adoré;connu;adoré;adoré;adoré;inconnu;inconnu;connu;inconnu;inconnu;inconnu;inconnu;inconnu;inconnu;inconnu;inconnu;inconnu;7;3;6;4;6;5;4;7;5;3;3;4;6;5;6;7;1;1;4;1;3;1;1;5;7;7;7;7;5.25;4.88;2.12;7.00;L'Explorateur convivial;✅ Très compatible Ameritrash / Ameristyle | ✅ Très compatible Négociation / diplomatie | ~ Compatible Eurogame | ~ Compatible Semi-coop / traître | ~ Compatible Jeu abstrait / duel expert | ~ Compatible Legacy / campagne narrative;Ameritrash / Ameristyle (ex: Dune, King of Tokyo, SETI) | Négociation / diplomatie (ex: Catan, Dune) | Eurogame (ex: Terraforming Mars, Wingspan, Everdell) | Semi-coop / traître (ex: Saboteur, Eternal Decks) | Jeu abstrait / duel expert (ex: Splendor) | Legacy / campagne narrative (ex: Wingspan, Everdell);Intermédiaire;11;5;1;Trio, Aventuriers du Rail, Time's Up, Top 10, TTMC
24/06/2026 18:56;34;Mensuel;Intermédiaire;Amis;Stratégie, Ambiance / social, Rôle / narrative, Enquête;Me détendre, Partager un moment;inconnu;inconnu;adoré;adoré;inconnu;inconnu;inconnu;adoré;adoré;inconnu;inconnu;inconnu;inconnu;inconnu;inconnu;inconnu;inconnu;inconnu;inconnu;inconnu;inconnu;inconnu;inconnu;adoré;3;4;6;6;6;3;5;6;6;3;6;6;3;3;6;6;1;1;1;1;1;1;2;6;6;6;6;7;4.88;4.88;1.75;6.25;L'Explorateur convivial;✅ Très compatible Ameritrash / Ameristyle | ✅ Très compatible Semi-coop / traître | ~ Compatible Négociation / diplomatie | ~ Compatible Party game / ambiance | ~ Compatible Legacy / campagne narrative | ~ Compatible Eurogame;Ameritrash / Ameristyle (ex: Dune, King of Tokyo, SETI) | Semi-coop / traître (ex: Saboteur, Eternal Decks) | Négociation / diplomatie (ex: Catan, Dune) | Party game / ambiance (ex: Time's Up, Top 10, TTMC) | Legacy / campagne narrative (ex: Wingspan, Everdell) | Eurogame (ex: Terraforming Mars, Wingspan, Everdell);Découvreur;5;5;0;UNO, Saboteur, Aventuriers du Rail, DiXit, Splendor
24/06/2026 18:53;44;Mensuel;Débutant;Amis;Coopératif, Ambiance / social;Découvrir de nouveaux jeux, Partager un moment;inconnu;adoré;connu;adoré;inconnu;inconnu;adoré;connu;connu;connu;inconnu;inconnu;connu;inconnu;inconnu;inconnu;inconnu;inconnu;inconnu;connu;adoré;inconnu;inconnu;connu;6;4;6;6;4;4;5;5;5;2;5;4;4;5;4;4;4;6;4;4;4;3;5;6;7;5;7;7;5.00;4.12;4.50;6.50;L'Explorateur convivial;✅ Très compatible Eurogame | ✅ Très compatible Ameritrash / Ameristyle | ~ Compatible Semi-coop / traître | ~ Compatible Négociation / diplomatie | ~ Compatible Party game / ambiance | ~ Compatible Legacy / campagne narrative;Eurogame (ex: Terraforming Mars, Wingspan, Everdell) | Ameritrash / Ameristyle (ex: Dune, King of Tokyo, SETI) | Semi-coop / traître (ex: Saboteur, Eternal Decks) | Négociation / diplomatie (ex: Catan, Dune) | Party game / ambiance (ex: Time's Up, Top 10, TTMC) | Legacy / campagne narrative (ex: Wingspan, Everdell);Intermédiaire;11;4;1;Trio, Saboteur, 6 qui prend !, Wingspan
24/06/2026 17:03;32;Mensuel;Avancé;Famille;Coopératif, Ambiance / social, Rôle / narrative, Party game;Partager un moment, Découvrir de nouveaux jeux;inconnu;connu;adoré;adoré;inconnu;inconnu;connu;connu;connu;connu;connu;connu;connu;inconnu;inconnu;adoré;connu;inconnu;inconnu;adoré;inconnu;inconnu;adoré;adoré;4;4;7;4;6;4;2;1;2;2;2;3;2;2;7;2;5;4;7;6;2;3;2;4;7;7;7;7;4.00;2.75;4.12;7.00;Le Rassembleur;✅ Très compatible Party game / ambiance | ✅ Très compatible Legacy / campagne narrative | ~ Compatible Ameritrash / Ameristyle | ~ Compatible Coopératif | ~ Compatible Semi-coop / traître | ~ Compatible Négociation / diplomatie;Party game / ambiance (ex: Time's Up, Top 10, TTMC) | Legacy / campagne narrative (ex: Wingspan, Everdell) | Ameritrash / Ameristyle (ex: Dune, King of Tokyo, SETI) | Coopératif (ex: Mysterium, Bomb Buster, Harmonie) | Semi-coop / traître (ex: Saboteur, Eternal Decks) | Négociation / diplomatie (ex: Catan, Dune);Confirmé;15;6;3;UNO, Saboteur, Harmonie, Mysterium, Everdell, Splendor
24/06/2026 18:01;40;Mensuel;Intermédiaire;Amis;Coopératif, Ambiance / social, Stratégie, Deck building;Partager un moment, Découvrir de nouveaux jeux;connu;adoré;adoré;adoré;connu;connu;adoré;connu;connu;connu;inconnu;inconnu;adoré;inconnu;inconnu;inconnu;inconnu;inconnu;inconnu;adoré;adoré;inconnu;connu;adoré;4;4;7;4;5;7;5;1;1;1;7;1;4;1;4;4;1;1;1;1;1;1;1;4;7;7;7;7;4.62;2.88;1.38;7.00;L'Explorateur convivial;✅ Très compatible Coopératif | ✅ Très compatible Party game / ambiance | ~ Compatible Legacy / campagne narrative | ~ Compatible Ameritrash / Ameristyle | ~ Compatible Semi-coop / traître | ~ Compatible Négociation / diplomatie;Coopératif (ex: Mysterium, Bomb Buster, Harmonie) | Party game / ambiance (ex: Time's Up, Top 10, TTMC) | Legacy / campagne narrative (ex: Wingspan, Everdell) | Ameritrash / Ameristyle (ex: Dune, King of Tokyo, SETI) | Semi-coop / traître (ex: Saboteur, Eternal Decks) | Négociation / diplomatie (ex: Catan, Dune);Confirmé;15;8;2;Trio, UNO, Saboteur, 6 qui prend !, Flip 7, Mysterium, Wingspan, Splendor
25/06/2026 07:27;37;Plusieurs fois par semaine;Avancé;En couple;Stratégie, Coopératif, Ambiance / social, Rôle / narrative;Partager un moment, Me détendre, Découvrir de nouveaux jeux;connu;adoré;connu;connu;inconnu;inconnu;adoré;inconnu;adoré;inconnu;connu;connu;adoré;inconnu;connu;adoré;inconnu;connu;adoré;connu;adoré;inconnu;inconnu;connu;5;2;6;5;6;6;2;2;4;5;6;6;2;5;6;3;2;2;2;6;2;1;3;3;7;6;6;6;4.25;4.62;2.62;6.25;L'Animateur compétitif;✅ Très compatible Ameritrash / Ameristyle | ✅ Très compatible Négociation / diplomatie | ~ Compatible Semi-coop / traître | ~ Compatible Party game / ambiance | ~ Compatible Legacy / campagne narrative | ~ Compatible Eurogame;Ameritrash / Ameristyle (ex: Dune, King of Tokyo, SETI) | Négociation / diplomatie (ex: Catan, Dune) | Semi-coop / traître (ex: Saboteur, Eternal Decks) | Party game / ambiance (ex: Time's Up, Top 10, TTMC) | Legacy / campagne narrative (ex: Wingspan, Everdell) | Eurogame (ex: Terraforming Mars, Wingspan, Everdell);Confirmé;16;7;5;Trio, 6 qui prend !, DiXit, Flip 7, Harmonie, Eternal Decks, Wingspan
